Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Investors Name,InvestmentnType,Amount in USD
259,2018-05-02,Bizongo,Consumer Internet,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,4200000.0
260,2018-05-03,Disprz,IT,"IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,4200000.0
261,2018-05-07,PaisaDukan,Consumer Internet,Unknown,Seed / Angel Funding,4200000.0
262,2018-05-09,i3sysytems,Technology,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,4200000.0
263,2018-05-11,Earth Food,Consumer Internet,Rairah Corporation,Seed / Angel Funding,4200000.0
264,2018-05-14,Nykaa,Consumer Internet,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,4200000.0
265,2018-05-16,mfine,Healthcare,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,4200000.0
266,2018-05-21,Rocketium,Technology,Blume ventures,Seed/ Angel Funding,4200000.0
267,2018-05-21,MilkBasket,Technology,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,4200000.0
268,2018-05-22,Vola,Finance,Credika and unnamed angel investors,Seed/ Angel Funding,4200000.0
269,2018-05-22,Cashkumar,Consumer Internet,LetsVenture,Seed/ Angel Funding,4200000.0
270,2018-05-23,Edyoo,E-Commerce,RS Shanbag,Seed/ Angel Funding,4200000.0
271,2018-05-23,Aashiyaan,Finance,"Insistor, Oikocredit",Seed/ Angel Funding,4200000.0
272,2018-05-24,Smartivity,Ed-tech,"Ashish Kacholi, S Chand Group",Seed/ Angel Funding,4200000.0
273,2018-05-24,Bonphulapl,Clean-tech,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,4200000.0
274,2018-05-27,Acko,Consumer Internet,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed/ Angel Funding,4200000.0
275,2018-05-28,HWell24,Healthcare,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Seed/ Angel Funding,4200000.0
276,2018-05-29,Toffee,Consumer Internet,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/ Angel Funding,4200000.0
277,2018-05-29,Tonetag,Technology,Amazon Inc. and Mastercard,Private Equity,4200000.0
278,2018-05-30,Events High,Consumer Internet,Treebo,Private Equity,4200000.0
279,2018-05-30,Stellaps,Technology,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,4200000.0
280,2018-05-31,Credright,Consumer Internet,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Seed/ Angel Funding,4200000.0
281,2018-04-02,Fitternity,Consumer Internet,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,4200000.0
282,2018-04-02,Synctag,Technology,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,4200000.0
283,2018-04-02,Benepik,Technology,"Vishal Bali, Yogesh Misra, Thomas Assessments and others",Seed / Angel Funding,4200000.0
284,2018-04-02,Finzy,Consumer Internet,Unknown,Seed / Angel Funding,4200000.0
285,2018-04-04,Varthana,Finance,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,4200000.0
286,2018-04-05,IndigoLearn,Ed-Tech,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,4200000.0
287,2018-04-05,Vedantu,Ed-Tech,"Accel Partners, Tiger Global And Others",Private Equity,4200000.0
288,2018-04-09,Kaleidofin,Fiinance,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed / Angel Funding,4200000.0
289,2018-04-09,Pipabella,Consumer Internet,Fireside Ventures,Seed / Angel Funding,4200000.0
290,2018-04-09,Elemential,Technology,"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others",Seed / Angel Funding,4200000.0
291,2018-04-09,Kriger Campus,Ed-Tech,Unknown,Seed / Angel Funding,4200000.0
292,2018-04-10,Loanzen,Finance,Kae Capital Management,Seed / Angel Funding,4200000.0
293,2018-04-10,TravelTriangle,Consumer Internet,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,4200000.0
294,2018-04-12,Letsmd,Healthcare,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed / Angel Funding,4200000.0
295,2018-04-12,AyeFinance,Finance,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt Funding,4200000.0
296,2018-04-13,mintifi,Finance,Lok Capital,Seed / Angel Funding,4200000.0
297,2018-04-16,icanstay,Consumer Internet,Mr. Manoj Prasad,Seed / Angel Funding,4200000.0
298,2018-04-16,Pregbuddy,Healthcare,"Rajan Anandan, Madhusudhan Kannan, Jayant Kadambi, Puneet Gupta and Pradeep K Jaisingh",Seed / Angel Funding,4200000.0
299,2018-04-18,Coverfox,Consumer Internet,"International Finance Corporation, Transamerica and others.",Private Equity,4200000.0
300,2018-04-19,Lenskart,Consumer Internet,TR Capital,Private Equity,4200000.0
301,2018-04-19,mamaearth,Healthcare,Shilpa Shetty Kundra,Private Equity,4200000.0
302,2018-04-19,Fyle Technologies,Technology,Pravega Ventures and Beenext,Seed / Angel Funding,4200000.0
303,2018-04-19,True Balance,Technology,"Line Ventures Corporation, Line Corp, Naver, Shinhan Bank and TS Investment",Private Equity,4200000.0
304,2018-04-22,Visit,Healthcare,"Biz Stone, Kunal Bahl, Rohit Bansal, Alagu Periyannan and Karthee Madasamy",Private Equity,4200000.0
305,2018-04-22,Doxper,Healthcare,Vidal Healthcare,Seed / Angel Funding,4200000.0
306,2018-04-22,Nykaa,Consumer Internet,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,4200000.0
307,2018-04-23,Mihuru,Finance,Unknown,Seed / Angel Funding,4200000.0
308,2018-04-23,Capital Float,Finance,Amazon,Private Equity,4200000.0
309,2018-04-25,Trip shelf,Consumer Internet,"GEMS Advisory, Alok Mittal and Sachin Bhatia",Seed / Angel Funding,4200000.0
310,2018-04-26,POPxo,Technology,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",Private Equity,4200000.0
311,2018-04-26,RailYatri,Consumer Internet,"Omidyar Network, Nandan Nilekani, Blume Ventures, Helion Venture Partners",Private Equity,4200000.0
312,2018-04-27,1mg,Consumer Internet,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,4200000.0
313,2018-04-29,Rubique,Consumer Internet,"Emery Capital, Blacksoil and Kalaari Capital",Private Equity,4200000.0
314,2018-04-30,Samco,Consumer Internet,Bay Capital Investments and Others,Private Equity,4200000.0
315,2018-04-30,MyLoanCare,Finance,SAR Group,Seed / Angel Funding,4200000.0
316,2018-03-01,PharmEasy,Consumer Internet,"Bessemer Venture Partners and Orios Venture Partners, JM Financials and MEMG",Private Equity,4200000.0
317,2018-03-01,Buddy4studdy,Consumer Internet,CBA Capital and others,Private Equity,4200000.0
318,2018-03-01,Urban Ladder,E-Commerce,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,4200000.0
319,2018-03-03,Kuvera,Consumer Internet,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed / Angel Funding,4200000.0
320,2018-03-04,Gramophone,Technology,InfoEdge,Seed/Angel Funding,4200000.0
321,2018-03-05,Wellthy,Healthcare,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,4200000.0
322,2018-03-05,MedGenome,Healthcare,"HDFC Life, HDFC Asset Management",Private Equity,4200000.0
323,2018-03-05,Finova Capital,Consumer Internet,Sequoia Capital,Private Equity,4200000.0
324,2018-03-05,Hotelogix,Technology,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,4200000.0
325,2018-03-04,Livehealth,Consumer Internet,Nexus Venture Partners,Seed / Angel Funding,4200000.0
326,2018-03-06,Ad2pro,Technology,Avendus Finance Pvt. Ltd,Debt Funding,4200000.0
327,2018-03-06,Coverfox,Consumer Internet,Aegon NV,Private Equity,4200000.0
328,2018-03-08,Pepperfry,Consumer Internet,State Street Global Advisors,Private Equity,4200000.0
329,2018-03-08,Magicpin,Consumer Internet,Trifecta Capital,Debt Funding,4200000.0
330,2018-03-12,HealthCare,Consumer Internet,HR Fund,Seed / Angel Funding,4200000.0
331,2018-03-13,PineLabs,Technology,"Actis, Altimeter Capital",Private Equity,4200000.0
332,2018-03-14,Stumagz,Consumer Internet,"Venkat Subramanian, Sudhakar Pennam, and other tech investors from Silicon Valley",Seed / Angel Funding,4200000.0
333,2018-03-14,AvailFinance,Consumer Internet,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",Private Equity,4200000.0
334,2018-03-15,Grofers,Consumer Internet,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,4200000.0
335,2018-03-19,Fingerlix,Consumer Internet,Alteria Capital,Debt Funding,4200000.0
336,2018-03-19,Karma Healthcare,Healthcare,"1Crowd, Ankur Capital",Seed / Angel Funding,4200000.0
337,2018-03-19,Zappfresh,Food & Beverages,"Amit Burman, SIDBI Venture Capital",Seed / Angel Funding,4200000.0
338,2018-03-19,CustomerSucessBox,Technology,"Pi Ventures, Axilor Ventures",Seed / Angel Funding,4200000.0
339,2018-03-20,One Labs,Consumer Internet,Micromax Informatics Ltd,Private Equity,4200000.0
340,2018-03-21,GigIndia,Consumer Internet,"Jessica Wong, Hiro Mashita, Xue Manzi and Yiyun Zhang.",Seed / Angel Funding,4200000.0
341,2018-03-22,Chargebee,Technology,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,4200000.0
342,2018-03-22,i2i Funding,Consumer Internet,SucSEED Venture Partners,Seed / Angel Funding,4200000.0
343,2018-03-22,Slang Labs,Technology,Endiya Partners,Seed / Angel Funding,4200000.0
344,2018-03-22,UrbanPiper,Technology,"Kumar Vembu, Axilor Ventures",Seed / Angel Funding,4200000.0
345,2018-03-26,Cash Suvidha,Consumer Internet,"Initia Holdings,Vipin Agarwal and others.",Seed / Angel Funding,4200000.0
346,2018-03-28,Roadcast,Technology,Unknown,Private Equity,4200000.0
347,2018-03-28,Smartcoin,Finance,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed / Angel Funding,4200000.0
348,2018-03-27,The Print,Media,Ratan Tata,Seed / Angel Funding,4200000.0
349,2018-03-27,DriveU,Technology,Amit Singhal and Unitus Seed Fund,Private Equity,4200000.0
350,2018-03-29,Fynd,Consumer Internet,"Google, Kae Capital, IIFL, Singularity Ventures, GrowX, Tracxn Labs, Venture Catalyst, Patni family office and Axis Capital.",Seed / Angel Funding,4200000.0
